time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.039,0.0,0.055996251325548904
0.0005,0.039,0.0,0.055996251325548904
0.001,0.039,0.0,0.055996251325548904
0.0015,0.039,0.0,0.055996251325553484
0.002,0.039,0.0,0.055996251325553484
0.0025,0.039,0.0,0.055996251325553484
0.003,0.039,0.0,0.055996251325553484
0.0035,0.039,0.0,0.055996251325555774
0.004,0.039,0.0,0.055996251325558064
0.0045000000000000005,0.039,0.0,0.055996251325558064
0.005,0.039,0.0,0.055996251325558064
0.0055,0.039,0.0,0.055996251325558064
0.006,0.039,0.0,0.05599625132556036
0.006500000000000001,0.039,0.0,0.05599625132556264
0.007,0.039,0.0,0.05599625132556264
0.0075,0.039,0.0,0.05599625132556264
0.008,0.039,0.0,0.05599625132556493
0.0085,0.039,0.0,0.05599625132556723
0.009000000000000001,0.039,0.0,0.05599625132556723
0.0095,0.039,0.0,0.05599625132556723
0.01,0.039,0.0,0.05599625132556723
0.0105,0.039,0.0,0.05599625132556952
0.011,0.039,0.0,0.05599625132557181
0.0115,0.039,0.0,0.05599625132557181
0.012,0.039,0.0,0.05599625132557181
0.0125,0.039,0.0,0.05599625132557181
0.013000000000000001,0.039,0.0,0.05599625132557181
0.0135,0.039,0.0,0.05599625132557639
0.014,0.039,0.0,0.05599625132557639
0.0145,0.039,0.0,0.05599625132557639
0.015,0.039,0.0,0.05599625132557639
0.0155,0.039,0.0,0.05599625132557639
0.016,0.039,0.0,0.05599625132557639
0.0165,0.039,0.0,0.05599625132557639
0.017,0.039,0.0,0.05599625132557639
0.0175,0.039,0.0,0.05599625132557868
0.018000000000000002,0.039,0.0,0.05599625132557868
0.0185,0.039,0.0,0.05599625132558097
0.019,0.039,0.0,0.05599625132558097
0.0195,0.039,0.0,0.05599625132558097
0.02,0.039,0.0,0.05599625132558097
0.0205,0.039,0.0,0.05599625132558097
0.021,0.039,0.0,0.05599625132558097
0.021500000000000002,0.039,0.0,0.05599625132558097
0.022,0.039,0.0,0.055996251325583266
0.0225,0.039,0.0,0.055996251325583266
0.023,0.039,0.0,0.055996251325585555
0.0235,0.039,0.0,0.055996251325585555
0.024,0.039,0.0,0.055996251325585555
0.0245,0.039,0.0,0.055996251325585555
0.025,0.039,0.0,0.055996251325585555
0.025500000000000002,0.039,0.0,0.055996251325585555
0.026000000000000002,0.039,0.0,0.055996251325585555
0.0265,0.039,0.0,0.055996251325585555
0.027,0.039,0.0,0.05599625132558784
0.0275,0.039,0.0,0.05599625132558784
0.028,0.039,0.0,0.055996251325590135
0.0285,0.039,0.0,0.055996251325590135
0.029,0.039,0.0,0.055996251325590135
0.029500000000000002,0.039,0.0,0.055996251325590135
0.03,0.039,0.0,0.055996251325590135
0.0305,0.039,0.0,0.055996251325590135
0.031,0.039,0.0,0.055996251325590135
0.0315,0.039,0.0,0.055996251325590135
0.032,0.039,0.0,0.055996251325592425
0.0325,0.039,0.0,0.055996251325592425
0.033,0.039,0.0,0.05599625132559472
0.0335,0.039,0.0,0.05599625132559472
0.034,0.039,0.0,0.05599625132559472
0.0345,0.039,0.0,0.05599625132559472
0.035,0.039,0.0,0.05599625132559472
0.035500000000000004,0.039,0.0,0.05599625132559472
0.036000000000000004,0.039,0.0,0.055996251325597005
0.0365,0.039,0.0,0.055996251325597005
0.037,0.039,0.0,0.055996251325597005
0.0375,0.039,0.0,0.055996251325597005
0.038,0.039,0.0,0.055996251325599294
0.0385,0.039,0.0,0.055996251325599294
0.039,0.039,0.0,0.055996251325599294
0.0395,0.039,0.0,0.055996251325599294
0.04,0.039,0.0,0.055996251325599294
0.0405,0.039,0.0,0.055996251325599294
0.041,0.039,0.0,0.055996251325599294
0.0415,0.039,0.0,0.055996251325599294
0.042,0.039,0.0,0.055996251325599294
0.0425,0.039,0.0,0.055996251325599294
0.043000000000000003,0.039,0.0,0.055996251325599294
0.043500000000000004,0.039,0.0,0.055996251325599294
0.044,0.039,0.0,0.055996251325599294
0.0445,0.039,0.0,0.055996251325599294
0.045,0.039,0.0,0.055996251325599294
0.0455,0.039,0.0,0.055996251325599294
0.046,0.039,0.0,0.055996251325599294
0.0465,0.039,0.0,0.055996251325599294
0.047,0.039,0.0,0.055996251325599294
0.0475,0.039,0.0,0.055996251325599294
0.048,0.039,0.0,0.055996251325599294
0.0485,0.039,0.0,0.055996251325599294
0.049,0.039,0.0,0.055996251325599294
0.0495,0.039,0.0,0.055996251325599294
0.05,0.039,0.0,0.055996251325599294
0.0505,0.039,0.0,0.055996251325599294
0.051000000000000004,0.039,0.0,0.055996251325599294
0.051500000000000004,0.039,0.0,0.055996251325599294
0.052000000000000005,0.039,0.0,0.055996251325599294
0.0525,0.039,0.0,0.055996251325599294
0.053,0.039,0.0,0.055996251325599294
0.0535,0.039,0.0,0.055996251325599294
0.054,0.039,0.0,0.055996251325599294
0.0545,0.039,0.0,0.055996251325599294
0.055,0.039,0.0,0.055996251325599294
0.0555,0.039,0.0,0.055996251325599294
0.056,0.039,0.0,0.055996251325599294
0.0565,0.039,0.0,0.055996251325599294
0.057,0.039,0.0,0.055996251325599294
0.0575,0.039,0.0,0.055996251325599294
0.058,0.039,0.0,0.055996251325599294
0.0585,0.039,0.0,0.055996251325599294
0.059000000000000004,0.039,0.0,0.055996251325599294
0.059500000000000004,0.039,0.0,0.055996251325599294
0.06,0.039,0.0,0.055996251325599294
0.0605,0.039,0.0,0.055996251325599294
0.061,0.039,0.0,0.055996251325599294
0.0615,0.039,0.0,0.055996251325599294
0.062,0.039,0.0,0.055996251325599294
0.0625,0.039,0.0,0.055996251325599294
0.063,0.039,0.0,0.055996251325599294
0.0635,0.039,0.0,0.055996251325599294
0.064,0.039,0.0,0.055996251325599294
0.0645,0.039,0.0,0.055996251325599294
0.065,0.039,0.0,0.055996251325599294
0.0655,0.039,0.0,0.055996251325599294
0.066,0.039,0.0,0.055996251325599294
0.0665,0.039,0.0,0.055996251325599294
0.067,0.039,0.0,0.055996251325599294
0.0675,0.039,0.0,0.055996251325599294
0.068,0.039,0.0,0.055996251325599294
0.0685,0.039,0.0,0.055996251325599294
0.069,0.039,0.0,0.055996251325599294
0.0695,0.039,0.0,0.055996251325599294
0.07,0.039,0.0,0.055996251325599294
0.07050000000000001,0.039,0.0,0.055996251325599294
0.07100000000000001,0.039,0.0,0.055996251325599294
0.07150000000000001,0.039,0.0,0.055996251325599294
0.07200000000000001,0.039,0.0,0.055996251325599294
0.0725,0.039,0.0,0.055996251325599294
0.073,0.039,0.0,0.055996251325599294
0.0735,0.039,0.0,0.055996251325599294
0.074,0.039,0.0,0.055996251325599294
0.0745,0.039,0.0,0.055996251325599294
0.075,0.039,0.0,0.055996251325599294
0.0755,0.039,0.0,0.055996251325599294
0.076,0.039,0.0,0.055996251325599294
0.0765,0.039,0.0,0.055996251325599294
0.077,0.039,0.0,0.055996251325599294
0.0775,0.039,0.0,0.055996251325599294
0.078,0.039,0.0,0.055996251325599294
0.0785,0.039,0.0,0.055996251325599294
0.079,0.039,0.0,0.055996251325599294
0.0795,0.039,0.0,0.055996251325599294
0.08,0.039,0.0,0.055996251325599294
0.0805,0.039,0.0,0.055996251325599294
0.081,0.039,0.0,0.055996251325599294
0.0815,0.039,0.0,0.055996251325599294
0.082,0.039,0.0,0.055996251325599294
0.0825,0.039,0.0,0.055996251325599294
0.083,0.039,0.0,0.055996251325599294
0.0835,0.039,0.0,0.055996251325599294
0.084,0.039,0.0,0.055996251325599294
0.0845,0.039,0.0,0.055996251325599294
0.085,0.039,0.0,0.055996251325599294
0.0855,0.039,0.0,0.055996251325599294
0.08600000000000001,0.039,0.0,0.055996251325599294
0.08650000000000001,0.039,0.0,0.055996251325599294
0.08700000000000001,0.039,0.0,0.055996251325599294
0.08750000000000001,0.039,0.0,0.055996251325599294
0.088,0.039,0.0,0.055996251325599294
0.0885,0.039,0.0,0.055996251325599294
0.089,0.039,0.0,0.055996251325599294
0.0895,0.039,0.0,0.055996251325599294
0.09,0.039,0.0,0.055996251325599294
0.0905,0.039,0.0,0.055996251325599294
0.091,0.039,0.0,0.055996251325599294
0.0915,0.039,0.0,0.055996251325599294
0.092,0.039,0.0,0.055996251325599294
0.0925,0.039,0.0,0.055996251325599294
0.093,0.039,0.0,0.055996251325599294
0.0935,0.039,0.0,0.055996251325599294
0.094,0.039,0.0,0.055996251325599294
0.0945,0.039,0.0,0.055996251325599294
0.095,0.039,0.0,0.055996251325599294
0.0955,0.039,0.0,0.055996251325599294
0.096,0.039,0.0,0.055996251325599294
0.0965,0.039,0.0,0.055996251325599294
0.097,0.039,0.0,0.055996251325599294
0.0975,0.039,0.0,0.055996251325599294
0.098,0.039,0.0,0.055996251325599294
0.0985,0.039,0.0,0.055996251325599294
0.099,0.039,0.0,0.055996251325599294
0.0995,0.039,0.0,0.055996251325599294
0.1,0.039,1.0,0.055996251325599294
0.1005,0.039,1.0,0.056004947908199806
0.101,0.039,1.0,0.05614218537436138
0.1015,0.039,1.0,0.0567511866383689
0.10200000000000001,0.039,1.0,0.05832851452694963
0.10250000000000001,0.039,1.0,0.06148970583619217
0.10300000000000001,0.039,1.0,0.0671626042897249
0.10350000000000001,0.039,1.0,0.07700544816700328
0.10400000000000001,0.039,1.0,0.09385508460779363
0.1045,0.039,1.0,0.1215255525823622
0.105,0.039,1.0,0.16313611359939253
0.1055,0.039,1.0,0.2190091335481389
0.106,0.039,1.0,0.2868979968389378
0.1065,0.039,1.0,0.36394946215020824
0.107,0.039,1.0,0.44791900470897517
0.1075,0.039,1.0,0.537270499664621
0.108,0.039,1.0,0.6309364611155817
0.1085,0.039,1.0,0.7281073671366891
0.109,0.039,1.0,0.8281148711145205
0.1095,0.039,1.0,0.9303778985029533
0.11,0.039,1.0,1.0343778007204463
0.1105,0.039,1.0,1.1396510031009446
0.111,0.039,1.0,1.2457804184085266
0.1115,0.039,1.0,1.3523951940644134
0.112,0.039,1.0,1.4591651322967036
0.1125,0.039,1.0,1.5658001335282619
0.113,0.039,1.0,1.6720450568661727
0.1135,0.039,1.0,1.777678806801849
0.114,0.039,1.0,1.8825092152624037
0.1145,0.039,1.0,1.9863723148167125
0.115,0.039,1.0,2.089127305086807
0.1155,0.039,1.0,2.1906562877873625
0.116,0.039,1.0,2.2908594485901723
0.1165,0.039,1.0,2.389655301048217
0.117,0.039,1.0,2.486976183464027
0.11750000000000001,0.039,1.0,2.5827689440448585
0.11800000000000001,0.039,1.0,2.6769908068972024
0.11850000000000001,0.039,1.0,2.769610391200543
0.11900000000000001,0.039,1.0,2.8606039637545857
0.11950000000000001,0.039,1.0,2.949956684078381
0.12,0.039,1.0,3.037659236365479
0.1205,0.039,1.0,3.1237092078628956
0.121,0.039,1.0,3.2081080786057576
0.1215,0.039,1.0,3.290862660445332
0.122,0.039,1.0,3.3719824155915346
0.1225,0.039,1.0,3.4514809027769555
0.123,0.039,1.0,3.5293733929182514
0.1235,0.039,1.0,3.6056782850309714
0.124,0.039,1.0,3.6804149873988803
0.1245,0.039,1.0,3.7536052785545992
0.125,0.039,1.0,3.8252714239894794
0.1255,0.039,1.0,3.8954374670692897
0.126,0.039,1.0,3.9641275537413843
0.1265,0.039,1.0,4.031367145198014
0.127,0.039,1.0,4.0971815257596775
0.1275,0.039,1.0,4.161596933992871
0.128,0.039,1.0,4.22463923168917
0.1285,0.039,1.0,4.28633495348686
0.129,0.039,1.0,4.346710117470334
0.1295,0.039,1.0,4.4057911955446025
0.13,0.039,1.0,4.463604048571397
0.1305,0.039,1.0,4.520174821121472
0.131,0.039,1.0,4.575528986213672
0.1315,0.039,1.0,4.629692168861186
0.132,0.039,1.0,4.682689287385463
0.1325,0.039,1.0,4.734545310558837
0.133,0.039,1.0,4.785284484138053
0.1335,0.039,1.0,4.834931026517012
0.134,0.039,1.0,4.8835084305837455
0.1345,0.039,1.0,4.931040102726766
0.135,0.039,1.0,4.977548731387688
0.1355,0.039,1.0,5.023056874078594
0.136,0.039,1.0,5.067586385102146
0.1365,0.039,1.0,5.11115895498263
0.137,0.039,1.0,5.153795590776744
0.1375,0.039,1.0,5.195517112030291
0.138,0.039,1.0,5.2363436779262615
0.1385,0.039,1.0,5.2762952435727435
0.139,0.039,1.0,5.315391128947311
0.1395,0.039,1.0,5.353650439015884
0.14,0.039,1.0,5.391091670049293
0.1405,0.039,1.0,5.42773309677525
0.14100000000000001,0.039,1.0,5.463592412177589
0.14150000000000001,0.039,1.0,5.498687084601478
0.14200000000000002,0.039,1.0,5.533034027609088
0.14250000000000002,0.039,1.0,5.566649929693879
0.14300000000000002,0.039,1.0,5.599550951169262
0.14350000000000002,0.039,1.0,5.631753028903051
0.14400000000000002,0.039,1.0,5.66327159756607
0.1445,0.039,1.0,5.694121871572329
0.145,0.039,1.0,5.7243185883203935
0.1455,0.039,1.0,5.7538762693191465
0.146,0.039,1.0,5.782808983320858
0.1465,0.039,1.0,5.811130588425647
0.147,0.039,1.0,5.838854513238272
0.1475,0.039,1.0,5.86599398157474
0.148,0.039,1.0,5.892561809978577
0.1485,0.039,1.0,5.918570616500037
0.149,0.039,1.0,5.944032633086763
0.1495,0.039,1.0,5.968959899767097
0.15,0.039,1.0,5.99336409058799
0.1505,0.039,1.0,6.017256694408735
0.151,0.039,1.0,6.040648853197311
0.1515,0.039,1.0,6.063551530528826
0.152,0.039,1.0,6.085975361173581
0.1525,0.039,1.0,6.10793080829311
0.153,0.039,1.0,6.129428023361483
0.1535,0.039,1.0,6.150476992960078
0.154,0.039,1.0,6.1710874081694795
0.1545,0.039,1.0,6.191268801782706
0.155,0.039,1.0,6.2110304263890805
0.1555,0.039,1.0,6.230381382751093
0.156,0.039,1.0,6.249330505878191
0.1565,0.039,1.0,6.267886485245452
0.157,0.039,1.0,6.2860577582214905
0.1575,0.039,1.0,6.303852622747681
0.158,0.039,1.0,6.3212791375442645
0.1585,0.039,1.0,6.338345227814054
0.159,0.039,1.0,6.3550585917043305
0.1595,0.039,1.0,6.371426799550401
0.16,0.039,1.0,6.3874572061182615
0.1605,0.039,1.0,6.403157043858844
0.161,0.039,1.0,6.418533340499678
0.1615,0.039,1.0,6.433593006740519
0.162,0.039,1.0,6.448342758800312
0.1625,0.039,1.0,6.4627892009490076
0.163,0.039,1.0,6.47693875265036
0.1635,0.039,1.0,6.490797726291944
0.164,0.039,1.0,6.504372258595298
0.1645,0.039,1.0,6.517668383876823
0.165,0.039,1.0,6.530691969424374
0.1655,0.039,1.0,6.543448784594195
0.166,0.039,1.0,6.555944439879218
0.1665,0.039,1.0,6.568184452122401
0.167,0.039,1.0,6.5801741870242845
0.1675,0.039,1.0,6.591918920731397
0.168,0.039,1.0,6.6034237855508735
0.1685,0.039,1.0,6.614693828152447
0.169,0.039,1.0,6.625733958276541
0.1695,0.039,1.0,6.636549003770106
0.17,0.039,1.0,6.64714366209136
0.1705,0.039,1.0,6.657522552382396
0.171,0.039,1.0,6.667690169590059
0.1715,0.039,1.0,6.677650933762663
0.17200000000000001,0.039,1.0,6.687409146619734
0.17250000000000001,0.039,1.0,6.696969038246919
0.17300000000000001,0.039,1.0,6.706334725959801
0.17350000000000002,0.039,1.0,6.715510258558115
0.17400000000000002,0.039,1.0,6.724499577340817
