time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.045,0.0,1.1183699660209627
0.0005,0.045,0.0,1.1183693934765013
0.001,0.045,0.0,1.1183688645292442
0.0015,0.045,0.0,1.1183683758493197
0.002,0.045,0.0,1.1183679243779852
0.0025,0.045,0.0,1.1183675072737322
0.003,0.045,0.0,1.1183671219263127
0.0035,0.045,0.0,1.1183667659108327
0.004,0.045,0.0,1.1183664369997168
0.0045000000000000005,0.045,0.0,1.1183661331235295
0.005,0.045,0.0,1.1183658523811892
0.0055,0.045,0.0,1.118365593006568
0.006,0.045,0.0,1.1183653533771922
0.006500000000000001,0.045,0.0,1.118365131985738
0.007,0.045,0.0,1.118364927447482
0.0075,0.045,0.0,1.1183647384759337
0.008,0.045,0.0,1.118364563889271
0.0085,0.045,0.0,1.118364402589464
0.009000000000000001,0.045,0.0,1.1183642535678175
0.0095,0.045,0.0,1.1183641158871755
0.01,0.045,0.0,1.1183639886865968
0.0105,0.045,0.0,1.118363871166186
0.011,0.045,0.0,1.1183637625911098
0.0115,0.045,0.0,1.1183636622786555
0.012,0.045,0.0,1.1183635696016145
0.0125,0.045,0.0,1.1183634839772385
0.013000000000000001,0.045,0.0,1.1183634048701838
0.0135,0.045,0.0,1.1183633317830621
0.014,0.045,0.0,1.1183632642589445
0.0145,0.045,0.0,1.1183632018732605
0.015,0.045,0.0,1.1183631442359852
0.0155,0.045,0.0,1.1183630909847495
0.016,0.045,0.0,1.1183630417866417
0.0165,0.045,0.0,1.118362996332334
0.017,0.045,0.0,1.1183629543376798
0.0175,0.045,0.0,1.1183629155386656
0.018000000000000002,0.045,0.0,1.1183628796927445
0.0185,0.045,0.0,1.118362846574533
0.019,0.045,0.0,1.1183628159770196
0.0195,0.045,0.0,1.118362787707826
0.02,0.045,0.0,1.1183627615902643
0.0205,0.045,0.0,1.1183627374601204
0.021,0.045,0.0,1.1183627151665467
0.021500000000000002,0.045,0.0,1.1183626945694094
0.022,0.045,0.0,1.1183626755399332
0.0225,0.045,0.0,1.118362657958502
0.023,0.045,0.0,1.1183626417152224
0.0235,0.045,0.0,1.1183626267079574
0.024,0.045,0.0,1.1183626128429172
0.0245,0.045,0.0,1.1183626000329134
0.025,0.045,0.0,1.1183625881979087
0.025500000000000002,0.045,0.0,1.1183625772634624
0.026000000000000002,0.045,0.0,1.1183625671612405
0.0265,0.045,0.0,1.1183625578277492
0.027,0.045,0.0,1.1183625492046245
0.0275,0.045,0.0,1.1183625412376828
0.028,0.045,0.0,1.1183625338771002
0.0285,0.045,0.0,1.1183625270766147
0.029,0.045,0.0,1.1183625207937045
0.029500000000000002,0.045,0.0,1.118362514988901
0.03,0.045,0.0,1.1183625096258987
0.0305,0.045,0.0,1.1183625046709909
0.031,0.045,0.0,1.118362500093194
0.0315,0.045,0.0,1.118362495863739
0.032,0.045,0.0,1.1183624919561939
0.0325,0.045,0.0,1.1183624883459835
0.033,0.045,0.0,1.1183624850105547
0.0335,0.045,0.0,1.1183624819289353
0.034,0.045,0.0,1.1183624790818307
0.0345,0.045,0.0,1.1183624764513913
0.035,0.045,0.0,1.1183624740211553
0.035500000000000004,0.045,0.0,1.1183624717758445
0.036000000000000004,0.045,0.0,1.1183624697014174
0.0365,0.045,0.0,1.1183624677848514
0.037,0.045,0.0,1.118362466014154
0.0375,0.045,0.0,1.1183624643781864
0.038,0.045,0.0,1.1183624628667443
0.0385,0.045,0.0,1.1183624614702976
0.039,0.045,0.0,1.1183624601801412
0.0395,0.045,0.0,1.1183624589881611
0.04,0.045,0.0,1.118362457886904
0.0405,0.045,0.0,1.1183624568694386
0.041,0.045,0.0,1.1183624559294252
0.0415,0.045,0.0,1.1183624550609368
0.042,0.045,0.0,1.1183624542585409
0.0425,0.045,0.0,1.1183624535172048
0.043000000000000003,0.045,0.0,1.1183624528322935
0.043500000000000004,0.045,0.0,1.118362452199489
0.044,0.045,0.0,1.1183624516148583
0.0445,0.045,0.0,1.1183624510747157
0.045,0.045,0.0,1.118362450575692
0.0455,0.045,0.0,1.118362450114624
0.046,0.045,0.0,1.1183624496886517
0.0465,0.045,0.0,1.118362449295107
0.047,0.045,0.0,1.1183624489315007
0.0475,0.045,0.0,1.1183624485955634
0.048,0.045,0.0,1.1183624482852053
0.0485,0.045,0.0,1.118362447998446
0.049,0.045,0.0,1.1183624477335246
0.0495,0.045,0.0,1.1183624474887643
0.05,0.045,0.0,1.1183624472626241
0.0505,0.045,0.0,1.118362447053688
0.051000000000000004,0.045,0.0,1.118362446860663
0.051500000000000004,0.045,0.0,1.1183624466823117
0.052000000000000005,0.045,0.0,1.1183624465175472
0.0525,0.045,0.0,1.1183624463653248
0.053,0.045,0.0,1.118362446224682
0.0535,0.045,0.0,1.118362446094738
0.054,0.045,0.0,1.1183624459746817
0.0545,0.045,0.0,1.1183624458637709
0.055,0.045,0.0,1.1183624457612897
0.0555,0.045,0.0,1.1183624456666201
0.056,0.045,0.0,1.118362445579143
0.0565,0.045,0.0,1.1183624454983354
0.057,0.045,0.0,1.1183624454236614
0.0575,0.045,0.0,1.1183624453546805
0.058,0.045,0.0,1.1183624452909533
0.0585,0.045,0.0,1.1183624452320802
0.059000000000000004,0.045,0.0,1.1183624451776768
0.059500000000000004,0.045,0.0,1.1183624451274128
0.06,0.045,0.0,1.1183624450809717
0.0605,0.045,0.0,1.1183624450380651
0.061,0.045,0.0,1.1183624449984315
0.0615,0.045,0.0,1.1183624449618097
0.062,0.045,0.0,1.1183624449279794
0.0625,0.045,0.0,1.1183624448967207
0.063,0.045,0.0,1.1183624448678413
0.0635,0.045,0.0,1.1183624448411484
0.064,0.045,0.0,1.1183624448165046
0.0645,0.045,0.0,1.118362444793731
0.065,0.045,0.0,1.1183624447726903
0.0655,0.045,0.0,1.1183624447532448
0.066,0.045,0.0,1.1183624447352845
0.0665,0.045,0.0,1.1183624447186995
0.067,0.045,0.0,1.1183624447033658
0.0675,0.045,0.0,1.118362444689201
0.068,0.045,0.0,1.118362444676109
0.0685,0.045,0.0,1.1183624446640072
0.069,0.045,0.0,1.1183624446528542
0.0695,0.045,0.0,1.1183624446425262
0.07,0.045,0.0,1.118362444632996
0.07050000000000001,0.045,0.0,1.1183624446241809
0.07100000000000001,0.045,0.0,1.1183624446160396
0.07150000000000001,0.045,0.0,1.118362444608531
0.07200000000000001,0.045,0.0,1.1183624446015723
0.0725,0.045,0.0,1.1183624445951503
0.073,0.045,0.0,1.118362444589223
0.0735,0.045,0.0,1.1183624445837497
0.074,0.045,0.0,1.1183624445786888
0.0745,0.045,0.0,1.1183624445740132
0.075,0.045,0.0,1.1183624445696951
0.0755,0.045,0.0,1.1183624445656932
0.076,0.045,0.0,1.1183624445620075
0.0765,0.045,0.0,1.118362444558611
0.077,0.045,0.0,1.1183624445554614
0.0775,0.045,0.0,1.118362444552546
0.078,0.045,0.0,1.1183624445498508
0.0785,0.045,0.0,1.1183624445473752
0.079,0.045,0.0,1.1183624445450788
0.0795,0.045,0.0,1.1183624445429607
0.08,0.045,0.0,1.118362444541008
0.0805,0.045,0.0,1.1183624445391929
0.081,0.045,0.0,1.1183624445375149
0.0815,0.045,0.0,1.1183624445359748
0.082,0.045,0.0,1.1183624445345446
0.0825,0.045,0.0,1.118362444533238
0.083,0.045,0.0,1.1183624445320142
0.0835,0.045,0.0,1.1183624445308864
0.084,0.045,0.0,1.118362444529855
0.0845,0.045,0.0,1.1183624445288924
