time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.044,0.0,0.08550324373997475
0.0005,0.044,0.0,0.08550320831801696
0.001,0.044,0.0,0.08550317324376887
0.0015,0.044,0.0,0.08550313851382363
0.002,0.044,0.0,0.08550310412480061
0.0025,0.044,0.0,0.08550307007334919
0.003,0.044,0.0,0.08550303635615622
0.0035,0.044,0.0,0.08550300296993853
0.004,0.044,0.0,0.08550296991144671
0.0045000000000000005,0.044,0.0,0.08550293717746879
0.005,0.044,0.0,0.0855029047648078
0.0055,0.044,0.0,0.08550287267031932
0.006,0.044,0.0,0.0855028408908738
0.006500000000000001,0.044,0.0,0.08550280942337928
0.007,0.044,0.0,0.0855027782647737
0.0075,0.044,0.0,0.08550274741201756
0.008,0.044,0.0,0.08550271686212377
0.0085,0.044,0.0,0.08550268661210156
0.009000000000000001,0.044,0.0,0.08550265665902008
0.0095,0.044,0.0,0.08550262699995599
0.01,0.044,0.0,0.08550259763202717
0.0105,0.044,0.0,0.08550256855237402
0.011,0.044,0.0,0.08550253975815938
0.0115,0.044,0.0,0.08550251124659114
0.012,0.044,0.0,0.08550248301488836
0.0125,0.044,0.0,0.0855024550603076
0.013000000000000001,0.044,0.0,0.08550242738012793
0.0135,0.044,0.0,0.0855023999716509
0.014,0.044,0.0,0.08550237283220805
0.0145,0.044,0.0,0.0855023459591609
0.015,0.044,0.0,0.08550231934990092
0.0155,0.044,0.0,0.08550229300182716
0.016,0.044,0.0,0.08550226691238354
0.0165,0.044,0.0,0.08550224107902907
0.017,0.044,0.0,0.08550221549924518
0.0175,0.044,0.0,0.08550219017054334
0.018000000000000002,0.044,0.0,0.08550216509046493
0.0185,0.044,0.0,0.0855021402565664
0.019,0.044,0.0,0.08550211566642665
0.0195,0.044,0.0,0.08550209131765456
0.02,0.044,0.0,0.08550206720788528
0.0205,0.044,0.0,0.08550204333476889
0.021,0.044,0.0,0.08550201969597802
0.021500000000000002,0.044,0.0,0.08550199628921902
0.022,0.044,0.0,0.08550197311220945
0.0225,0.044,0.0,0.08550195016269688
0.023,0.044,0.0,0.08550192743844762
0.0235,0.044,0.0,0.08550190493724671
0.024,0.044,0.0,0.08550188265690921
0.0245,0.044,0.0,0.0855018605952651
0.025,0.044,0.0,0.08550183875016693
0.025500000000000002,0.044,0.0,0.08550181711948968
0.026000000000000002,0.044,0.0,0.08550179570113081
0.0265,0.044,0.0,0.08550177449299536
0.027,0.044,0.0,0.08550175349303699
0.0275,0.044,0.0,0.08550173269919818
0.028,0.044,0.0,0.08550171210945888
0.0285,0.044,0.0,0.08550169172182151
0.029,0.044,0.0,0.08550167153428849
0.029500000000000002,0.044,0.0,0.08550165154491099
0.03,0.044,0.0,0.08550163175173266
0.0305,0.044,0.0,0.08550161215283464
0.031,0.044,0.0,0.08550159274630557
0.0315,0.044,0.0,0.0855015735302603
0.032,0.044,0.0,0.08550155450282497
0.0325,0.044,0.0,0.08550153566215189
0.033,0.044,0.0,0.08550151700640095
0.0335,0.044,0.0,0.0855014985337657
0.034,0.044,0.0,0.08550148024244343
0.0345,0.044,0.0,0.08550146213065776
0.035,0.044,0.0,0.08550144419663973
0.035500000000000004,0.044,0.0,0.08550142643865034
